Tiempo (segundos),Luminosidad,Contraste
0,2.481,2.522
0.05,2.549,2.687
0.1,2.632,3.025
0.15,2.858,3.904
0.2,3.031,4.581
0.25,3.205,5.491
0.3,3.427,5.853
0.35,3.63,6.768
0.4,4.112,7.905
0.45,4.284,8.526
0.5,4.894,9.974
0.55,5.083,10.706
0.6,5.439,11.706
0.65,6.269,14.674
0.7,6.805,16.52
0.75,8.002,20.693
0.8,8.678,23.295
0.85,9.79,27.206
0.9,10.301,28.938
0.95,11.087,31.533
1.0,11.461,32.738
1.05,12.07,34.898
1.1,12.34,35.888
1.15,12.787,37.704
1.2,13.005,38.625
1.25,13.362,40.444
1.3,13.49,41.212
1.35,13.714,42.699
1.4,13.781,43.336
1.45,13.892,44.46
1.5,13.914,44.944
1.55,13.921,45.758
1.6,13.886,46.108
1.65,13.767,46.518
1.7,13.748,46.857
1.75,13.652,47.309
1.8,13.58,47.454
1.85,13.409,47.55
1.9,13.336,47.644
1.95,13.166,47.645
2.0,13.097,47.685
2.05,12.966,47.643
2.1,12.911,47.671
2.15,12.787,47.636
2.2,12.75,47.637
2.25,12.657,47.619
2.3,12.605,47.583
2.35,12.525,47.562
2.4,12.49,47.553
2.45,12.398,47.536
2.5,12.395,47.517
2.55,12.314,47.509
2.6,12.32,47.486
2.65,12.249,47.487
2.7,12.259,47.47
2.75,12.208,47.473
2.8,12.224,47.456
2.85,12.188,47.464
2.9,12.245,47.508
2.95,12.298,47.463
3.0,12.289,47.46
3.05,12.276,47.465
3.1,12.261,47.454
3.15,12.233,47.468
3.2,12.259,47.461
3.25,12.257,47.452
3.3,12.238,47.451
3.35,12.247,47.456
3.4,12.212,47.46
3.45,12.24,47.454
3.5,12.242,47.455
3.55,12.204,47.466
3.6,12.236,47.46
3.65,12.244,47.455
3.7,12.234,47.455
3.75,12.226,47.458
3.8,12.184,47.463
3.85,12.223,47.455
3.9,12.23,47.454
3.95,12.174,47.464
4.0,12.216,47.454
4.05,12.169,47.462
4.1,12.22,47.456
4.15,12.223,47.453
4.2,12.219,47.453
4.25,12.218,47.455
4.3,12.18,47.462
4.35,12.218,47.453
4.4,12.223,47.451
4.45,12.18,47.461
4.5,12.212,47.453
4.55,12.218,47.452
4.6,12.213,47.452
4.65,12.213,47.453
4.7,12.17,47.462
4.75,12.155,47.279
4.8,11.413,43.991
4.85,10.796,40.783
4.9,8.44,29.864
4.95,6.579,20.766
5.0,2.887,3.809
5.05,2.496,2.577
5.1,2.408,2.525
5.15,2.476,2.534
5.2,2.427,2.555
5.25,2.478,2.524
5.3,2.427,2.548
5.35,2.478,2.526
5.4,2.427,2.553
5.45,2.476,2.522
5.5,2.427,2.552
5.55,2.478,2.524
5.6,2.428,2.551
5.65,2.478,2.524
5.7,2.43,2.553
5.75,2.441,2.38
5.8,2.437,2.578
5.85,2.44,2.578
5.9,2.597,2.949
5.95,1.517,2.176
6.0,2.751,3.919
6.05,3.364,4.849
6.1,5.372,7.147
6.15,6.48,8.345
6.2,9.221,11.186
6.25,10.541,12.679
6.3,13.954,16.012
6.35,15.627,17.763
6.4,17.785,19.907
6.45,18.886,21.045
6.5,19.219,21.081
6.55,19.224,21.121
6.6,19.435,21.183
6.65,19.631,21.232
6.7,19.772,21.366
6.75,19.973,21.431
6.8,20.258,21.589
6.85,20.31,21.659
6.9,20.758,21.87
6.95,20.812,21.944
7.0,21.283,22.197
7.05,21.336,22.274
7.1,21.817,22.569
7.15,21.862,22.636
7.2,22.356,22.948
7.25,22.403,23.005
7.3,22.896,23.365
7.35,22.998,23.476
7.4,23.514,23.92
7.45,23.532,23.972
7.5,24.126,24.461
7.55,24.318,24.692
7.6,24.721,25.094
7.65,24.941,25.344
7.7,25.233,25.658
7.75,25.519,25.947
7.8,25.75,26.302
7.85,26.058,26.612
7.9,26.479,27.133
7.95,26.514,27.199
8.0,27.063,27.795
8.05,27.224,28.041
8.1,27.573,28.46
8.15,27.82,28.761
8.2,28.007,29.063
8.25,28.27,29.398
8.3,28.499,29.737
8.35,28.755,30.068
8.4,28.999,30.433
8.45,29.269,30.781
8.5,29.551,31.211
8.55,29.605,31.314
8.6,30.012,31.822
8.65,30.079,31.949
8.7,30.356,32.352
8.75,30.499,32.521
8.8,30.598,32.713
8.85,30.602,32.72
8.9,30.998,33.138
8.95,31.005,33.151
9.0,31.157,33.403
9.05,31.162,33.411
9.1,31.386,33.755
9.15,31.392,33.751
9.2,31.411,33.807
9.25,31.427,33.831
9.3,31.436,33.843
9.35,31.435,33.855
9.4,31.458,33.871
9.45,31.453,33.875
9.5,31.458,33.886
9.55,31.46,33.89
9.6,31.458,33.895
9.65,31.466,33.891
9.7,31.461,33.894
9.75,31.46,33.896
9.8,31.46,33.896
